Sensor,time,value
SONIC,2019-07-26 12:47:28.907914,1584.5 cm
SONIC,2019-07-26 12:47:29.116352,1584.81 cm
POT,2019-07-26 12:47:29.210900,100%
SONIC,2019-07-26 12:47:29.325180,1585.52 cm
SONIC,2019-07-26 12:47:29.533524,1585.83 cm
SONIC,2019-07-26 12:47:29.742477,1586.15 cm
POT,2019-07-26 12:47:29.758703,100%
SONIC,2019-07-26 12:47:29.950699,1585.07 cm
SONIC,2019-07-26 12:47:30.159060,1586.77 cm
POT,2019-07-26 12:47:30.264626,100%
SONIC,2019-07-26 12:47:30.372627,1585.48 cm
SONIC,2019-07-26 12:47:30.580891,1585.31 cm
SONIC,2019-07-26 12:47:30.798090,1652.15 cm
POT,2019-07-26 12:47:30.813406,100%
SONIC,2019-07-26 12:47:31.006396,1585.96 cm
SONIC,2019-07-26 12:47:31.214770,1587.04 cm
POT,2019-07-26 12:47:31.319427,100%
SONIC,2019-07-26 12:47:31.427457,1586.19 cm
SONIC,2019-07-26 12:47:31.635800,1586.39 cm
SONIC,2019-07-26 12:47:31.853064,1652.64 cm
POT,2019-07-26 12:47:31.868409,100%
SONIC,2019-07-26 12:47:32.061435,1587.48 cm
SONIC,2019-07-26 12:47:32.269757,1586.72 cm
POT,2019-07-26 12:47:32.374443,100%
SONIC,2019-07-26 12:47:32.482516,1586.61 cm
SONIC,2019-07-26 12:47:32.690817,1585.55 cm
SONIC,2019-07-26 12:47:32.904123,1584.97 cm
POT,2019-07-26 12:47:32.919433,100%
SONIC,2019-07-26 12:47:33.112440,1586.04 cm
SONIC,2019-07-26 12:47:33.320728,1586.39 cm
POT,2019-07-26 12:47:33.425463,100%
SONIC,2019-07-26 12:47:33.533517,1586.69 cm
SONIC,2019-07-26 12:47:33.741784,1585.12 cm
SONIC,2019-07-26 12:47:33.955086,1585.18 cm
POT,2019-07-26 12:47:33.970394,47%
SONIC,2019-07-26 12:47:34.163498,1587.21 cm
SONIC,2019-07-26 12:47:34.371854,1586.17 cm
POT,2019-07-26 12:47:34.491774,47%
SONIC,2019-07-26 12:47:34.583430,1655.12 cm
SONIC,2019-07-26 12:47:34.795515,1563.41 cm
SONIC,2019-07-26 12:47:35.003854,1586.09 cm
POT,2019-07-26 12:47:35.009195,47%
SONIC,2019-07-26 12:47:35.212188,1586.28 cm
SONIC,2019-07-26 12:47:35.420544,1585.54 cm
POT,2019-07-26 12:47:35.520161,20%
SONIC,2019-07-26 12:47:35.537597,12.29 cm
SONIC,2019-07-26 12:47:35.654308,6.87 cm
SONIC,2019-07-26 12:47:35.780274,77.98 cm
SONIC,2019-07-26 12:47:35.897144,8.96 cm
POT,2019-07-26 12:47:36.048401,20%
SONIC,2019-07-26 12:47:36.103857,1558.38 cm
SONIC,2019-07-26 12:47:36.312477,1586.06 cm
SONIC,2019-07-26 12:47:36.429158,7.69 cm
SONIC,2019-07-26 12:47:36.545936,8.23 cm
POT,2019-07-26 12:47:36.559512,20%
SONIC,2019-07-26 12:47:36.662808,9.29 cm
SONIC,2019-07-26 12:47:36.779705,9.93 cm
SONIC,2019-07-26 12:47:36.896629,10.61 cm
SONIC,2019-07-26 12:47:37.013621,11.47 cm
POT,2019-07-26 12:47:37.070528,20%
SONIC,2019-07-26 12:47:37.130586,10.82 cm
